任务ID,阶段,模块,任务名称,详细说明,依赖任务,规模,预估人日,优先级,交付物/验收标准,状态
"P1-01","Phase 1","Adapter","DeclarativeAdapter 骨架与直映射方法","src/adapters/declarative/adapter.ts：extends SiteAdapter；先枚举 base.ts 全部 abstract 成员逐一归类实现（含 getConversationTitle：activeMatch+titleSelector，兜底 extractConversationTitleFromDocumentTitle），不得遗漏否则编译不过；实现 match（仅 matches；detect 语义留 P2-04）、getSiteId（pack: 前缀）、theme/名称/全部选择器 getter、export/networkMonitor/modelSwitcher/zen/clean/width/submitKey/quickQuote/mermaid 直映射；不支持项保持基类缺省","P0-01","M","3","高","以手写 manifest 实例化后 typecheck 通过（无未实现 abstract）；直映射方法单测","已完成"
"P1-02","Phase 1","Adapter","通用输入实现","首日 spike 验证 contenteditable 策略（结论回写能力矩阵）；textarea 走 native value setter+input 事件；contenteditable 顺序尝试 beforeinput(insertText)→execCommand insertText，每步回读校验，校验失败显式提示不支持，禁止 textContent 静默兜底（§6.3 专项）；结合 input.submitKey 配置","P1-01","M","2.5","高","验证矩阵通过：原生 textarea/原生 contenteditable/Lexical/ProseMirror 各≥1 真实站点；不可用场景提示明确","进行中"
"P1-03","Phase 1","Adapter","通用大纲提取","extractOutline：responseContainer 内 h1-h6 与 userQuery 选择器合并、文档序排序、排除 .gh- 前缀容器、复用基类 calculateRangeWordCount 字数统计；实现 getInlineBookmarkItems 兼容","P1-01","M","2","高","含用户提问与多级标题的页面大纲结构正确；与内置站点行为对齐","已完成"
"P1-04","Phase 1","Adapter","会话列表 DSL","conversation 原语（itemSelector/idFrom{attr,regex}/titleSelector/urlTemplate/activeMatch/shadow）→生成 getConversationList、getConversationObserverConfig（extractInfo/getTitleElement 闭包）、navigateToConversation（click-item 策略失败回退 location）","P1-01","L","3","中","在示例站点会话列表读取/收纳/SPA 跳转可用；无 conversation 字段时能力自动隐藏","进行中"
"P1-05","Phase 1","Adapter","状态检测 DSL","generating.existsSelectors 可见性判定 isGenerating；session 配置驱动 isNewConversation（pathPatterns）/getSessionId（idFromPathRegex）/isSharePage/getNewTabUrl","P1-01","M","1.5","高","生成中/空闲/新对话/分享页四态判定正确","已完成"
"P1-06","Phase 1","Core","AdapterRegistry 动态包加载与 UI 挂载门闩","initAdapterRegistry() 第二段：读 storage 已启用包→校验→实例化 DeclarativeAdapter 加入动态列表（P0-13 已建门闩与入口 await）；App 侧增加 gate（registry 就绪前不渲染 App，修复 App.tsx:407 空依赖 useMemo 首次 null 永不恢复的竞态）；getAdapter() 保持同步签名；冲突规则：内置>explicit 绑定>detect>静态 matches、单 origin 单激活、禁止覆盖内置域名","P0-13,P1-01,P1-07","M","2","高","9 处 getAdapter 调用零改动；UI 在 registry 就绪前不渲染、就绪后必然拿到正确 adapter；异常包跳过不影响内置与其他包","已完成"
"P1-07","Phase 1","Core","PackManager","src/core/pack-manager.ts：安装/更新/卸载/启用禁用；storage schema（sitepacks/installed、remote-state）+storageSchemaVersion 迁移预留；registry 来源自动更新联动 RemoteConfigManager、本地导入不自动更新；卸载清理","P0-05","L","3","高","全生命周期操作幂等；异常包（校验失败/版本门槛）不影响其他包加载","已完成"
"P1-08","Phase 1","Core","动态 siteId 全链路排查","SITE_IDS 耦合 33 文件 157 处逐一排查：收紧类型（keyof typeof）放宽为 string、settings Record 化确认、theme/icon fallback（favicon+首字母）、SUPPORTED_AI_PLATFORMS 动态合并 getDynamicPlatforms()、新增 isBuiltinSiteId()","P1-06","L","4","高","pack: 前缀 siteId 在设置存储/主题/会话归属/全局搜索全链路不报错不串数据；用 pack: 前缀假 id 完成设置读写/主题/备份恢复/全局搜索运行时冒烟（typecheck 拦不住 Record 键串数据）","已完成"
"P1-09","Phase 1","UI","getFeatureCapabilities 能力体系与 UI 联动","新增独立 getFeatureCapabilities()（不复用现有 getCapabilities()——其返回 {layout} 结构化对象且被 LayoutManager 消费，语义不同）；为 15 个内置适配器建真实能力表（不缺省全量 true；现有 5 个不支持会话管理站点从 ConversationsTab unsupportedSiteLabels 硬编码迁入能力表）；SiteSettingsPage 设置卡片、面板 QuickButtons/MainPanel 按钮、ConversationsTab 站点会话区按能力显隐；L2 站点显示社区适配包分级徽标与说明","P1-01","L","3.5","高","未声明能力在设置页与面板完全不可见；内置站点 UI 无任何变化（含 5 个无会话管理站点行为与现状一致）；unsupportedSiteLabels 硬编码删除","已完成"
"P1-10","Phase 1","UI","站点适配包管理页","设置页新 Tab：已安装列表（版本/来源/启用开关/检查更新/卸载）、registry 浏览与一键安装、本地 JSON 导入（校验+风险确认弹窗）；空态与错误态设计","P1-07","L","4","高","安装/卸载/更新/导入全流程可用；非法包导入给出定位到字段的错误提示","进行中"
"P1-11","Phase 1","Registry","sites 开放与完整性消费","registry/sites 正式接受贡献；扩展端消费 index 的 sha256 下载校验与 minAppVersion 过滤；.github PR 模板（site-pack.md）与 CONTRIBUTING 适配包章节；吸收自 Phase 0 后移的 P0-03（JSON Schema 文件）与 P0-12（贡献者文档/审核清单）一并交付","P0-03,P0-06,P0-12,P1-07","M","2","中","篡改包文件被哈希校验拒绝；高版本 schema 包在列表置灰提示升级；schema 文件与贡献文档同步上线","进行中"
"P1-12","Phase 1","i18n","包名多语与界面文案","nameI18n/descriptionI18n 消费逻辑与回退链（当前语言→en→name/description）；管理页/徽标/确认弹窗/提示全部文案一次性同步 11 种语言（zh-CN/zh-TW/en/ja/ko/it/de/es/fr/pt-BR/ru，仓库强制规范，不允许 zh-CN/en 起步分批）","P1-10","M","1.5","中","语言切换后包名与新增界面文案正确回退；11 种语言文案齐备无遗漏","进行中"
"P1-13","Phase 1","QA","首个官方 SitePack（Duck.ai）","以纯 JSON 完成 Duck.ai 适配（回应 #184 社区请求）作为 Phase 1 验收样板；经 P1-17 动态授权+注册在真实浏览器激活；核心能力全验证并截图存档（该包 capabilities 不含 conversation-list，故不依赖 P1-04）","P1-01,P1-02,P1-03,P1-05,P1-06,P1-07,P1-09,P1-10,P1-11,P1-17","M","2","高","Duck.ai 包合入 registry 并可经 sha256 校验安装；声明的能力矩阵项全部可用","进行中"
"P1-14","Phase 1","文档","用户文档","VitePress 文档站：如何安装适配包、如何编写适配包教程（以 Duck.ai 为例逐字段讲解）、FAQ（与官方适配的差异说明）","P1-13","M","1.5","中","文档上线且从设置页管理页可跳转","已完成"
"P1-15","Phase 1","Core","站点实例身份与数据迁移","实现 packId/siteInstanceKey（packId+origin）/会话复合存储键三层身份（§6.8）：conversations-store 等以裸会话 id 为键的 store 改复合键，防同一通用包多个自部署实例数据串线与会话 id 碰撞覆盖；内置站点 siteInstanceKey===siteId 行为不变；存量数据迁移 + storageSchemaVersion","P1-08","L","3","高","两个同 packId 不同 origin 实例设置/主题/阅读历史/会话互不串扰；存量内置站点数据迁移后零丢失（迁移单测）","已完成"
"P1-16","Phase 1","Core","用户数据生命周期与备份闭环","本地导入包+origin-bindings+用户覆盖纳入备份/WebDAV 同步（ZUSTAND_KEYS 体系扩展，备份 schema 版本化）；registry 远端缓存 remote-state 排除在备份外；恢复到新浏览器时提示重新申请域名权限；清除全部数据先注销动态注册脚本再清存储","P1-07,P1-17","M","2","高","备份→恢复到新环境后包与绑定完整、权限引导正确；清除数据后无残留注册；旧备份文件兼容导入","已完成"
"P1-17","Phase 1","Core","最小动态授权与 origin 级脚本注册(自 P2 前移)","首日 spike：验证 MAIN world 脚本（monitor/scroll-lock 等）不在 manifest content_scripts 而由 Plasmo 生成的 background main-world-scripts.ts 注册的事实、两类产物路径获取方式、web_accessible_resources（KaTeX 字体等）在动态 origin 生效性；实现：普通脚本从 getManifest().content_scripts 读取+MAIN world 脚本按 world×runAt 分组，注册单位为 origin（persistAcrossSessions:true），复用 perm-request.tsx 授权，启动对账，OPHEL_TARGET_URLS 改静态+动态合并；服务 Duck.ai 单 origin 场景（多包共享/引用计数留 P2-01）","P1-07","L","3","高","spike 结论记录；Duck.ai 域名授权→注册→刷新后激活；重启浏览器持久有效；卸载包后注册与权限清理干净","已完成"
"P2-01","Phase 2","Core","origin 注册引用计数与多包共享","在 P1-17 基础上扩展：一个 origin 被多个 pack/绑定引用时脚本只注入一套（注入单位 origin 而非 pack）；卸载/禁用单个 pack 按引用计数递减，归零才注销注册并提示撤权；getRegisteredContentScripts 启动对账扩展到绑定表；撤销权限事件（chrome.permissions.onRemoved）联动清理","P1-17","M","2","高","多包共享 origin 无重复注入；卸载一个 pack 不影响其他绑定；对账修复不一致状态","已完成"
"P2-02","Phase 2","UI","自定义域名添加与授权流程","实现用户级域名绑定表（sitepacks/origin-bindings：origin→explicit 指定 pack / detect 探测池，§6.9.1）；安装含未授权域名的 pack 时：授权成功后动态注册→失败回滚安装；设置页手动添加域名+选择绑定模式入口；撤销权限/解绑时联动注销","P1-17,P2-01","M","2.5","高","授权/拒绝/撤销三分支行为正确；explicit 与 detect 两种绑定模式可用；Edge 同步验证","已完成"
"P2-03","Phase 2","Userscript","油猴自定义域名指引","userscript 无法运行时扩 @match：设置页检测已装 pack 域名未被覆盖时展示指引（TM 用户匹配教程+域名复制按钮）；文档 FAQ 补充 TM/VM/ScriptCat 差异","P1-10","S","1","中","指引在 TM 实测可让用户 3 步内完成域名添加","已完成"
"P2-04","Phase 2","Adapter","detect 探测原语","SiteDetectRule（selectorExists/metaGenerator）实现：在用户绑定的域名（detect 探测池）上按 DOM 特征激活 pack（用于同构开源 ChatUI，matches 允许为空）；多包命中时按 §6.9.1 优先级（explicit 绑定>detect 命中按安装序）激活并支持切换；含 matches 的包语义为 matches 命中且 detect 任一命中","P1-01,P2-02","M","2","中","特征命中/不命中激活行为正确；多包命中优先级与切换可用；不影响纯 matches 包","已完成"
"P2-05","Phase 2","Packs","Open WebUI 官方包","含 detect 特征的 SitePack；在官方 demo 实例验证核心能力（大纲/插入/生成检测/新对话/Zen/导出基础）","P2-04","M","2","中","包合入 registry；demo 实例验证记录","已完成"
"P2-06","Phase 2","Packs","LobeChat 官方包","同 P2-05","P2-04","M","1.5","中","包合入 registry；demo 实例验证记录","进行中"
"P2-07","Phase 2","Packs","LibreChat 与 NextChat 官方包","同 P2-05，两个包","P2-04","M","2","低","包合入 registry；demo 实例验证记录","进行中"
"P2-08","Phase 2","Core","HealthCheckManager 健康自检","激活后延迟 8s 检查核心选择器命中（textarea/responseContainer/会话页 chatContent）；新对话页豁免；连续 2 次加载失败才提示；面板黄条提示分因：L2 包版本落后 registry→提示更新可装，最新或本地导入包→提示站点可能改版并引导报告；+[检查配置更新][报告问题（预填 issue 模板：站点/版本/失效选择器）]；内置与 L2 通用","P1-06","M","3","中","人为破坏 selector 两次加载内出现提示；patch 发布后检查更新可自动恢复；提示分因正确（本地导入包不误导）；无误报（新对话页/慢加载）","已完成"
"P2-09","Phase 2","QA","跨浏览器与多管理器回归","Chrome/Edge/Firefox：动态注册+授权+卸载清理全流程（重点 Firefox MV3 host 权限默认 optional 的交互差异）；userscript 在 TM/VM/ScriptCat 冒烟","P2-01,P2-02","M","2","中","三浏览器回归清单通过；差异与已知问题记录进 troubleshooting 文档","已完成"
"P3-01","Phase 3","Wizard","元素拾取 overlay","页内拾取组件：hover 高亮、点选确认、ESC 退出、iframe 场景提示不支持；复用面板 Shadow DOM 体系避免污染宿主页；与页面滚动/点击事件隔离","P1-13","L","4","中","在 3 个未适配站点实测拾取流畅无误触","进行中"
"P3-02","Phase 3","Wizard","稳定 selector 生成器","优先级 data-testid>id>aria-*>稳定类名组合；hash 类名过滤（css-modules/utility）；唯一性验证与祖先链收缩；生成失败时提示手动输入","P3-01","L","3","中","生成器单测（典型 DOM 夹具≥10 组）；生成选择器刷新页面后仍命中","进行中"
"P3-03","Phase 3","Wizard","引导流程与实时预览","分步引导：输入框→发送按钮→对话容器→用户消息→AI 回复→可选项（会话列表/新对话按钮）；每步即时校验（命中数/唯一性/容器包含关系）；完成后大纲实时预览与能力清单确认","P3-01,P3-02","L","4","中","无技术背景用户可完成向导并得到可用大纲（走查测试）","完成"
"P3-04","Phase 3","Wizard","保存/导出/PR 引导","保存为本地 pack 立即生效（免刷新或提示刷新）；导出 JSON 文件；复制 JSON+打开预填的 GitHub PR 创建页引导贡献回 registry","P3-03","M","2","中","导出包不经修改可通过 registry CI 校验","完成"
"P3-05","Phase 3","迁移","内置站点配置化批次 1","按 P0-09 沉淀的迁移手册：kimi/qianwen/yuanbao/chatglm 四站 selector 配置化，获得热修能力；每站独立 PR 独立回归","P0-09","L","4","中","四站回归通过；patch 通道对四站可用","进行中"
"P3-06","Phase 3","迁移","内置站点配置化批次 2","deepseek/grok/doubao/qwen-studio/gemini-enterprise 五站","P3-05","L","5","低","五站回归通过","进行中"
"P3-07","Phase 3","迁移","内置站点配置化批次 3（大站）","chatgpt/claude/gemini/aistudio 四大站：改动谨慎、逐站完整回归（含 Canvas/Artifact/Flutter iframe 等特殊路径不受影响验证）","P3-06","XL","6","低","四站完整回归通过；特殊功能路径零回归","进行中"
"P3-08","Phase 3","CI","公开页冒烟（可选）","Playwright 定时（GH Actions cron）访问各站点公开分享页断言核心选择器存在；失败自动开 issue（含站点/选择器/截图）；登录墙站点跳过并在 README 标注覆盖范围","P0-06","L","3","低","至少覆盖 8 个站点的分享页断言；人为改错选择器可触发自动 issue","未开始"
"P4-01","Phase 4","评估","userscript L3 代码插件机制评估","油猴形态代码级适配器：加载方式（@require/用户粘贴）、沙箱与安全提示、与 L1 转正流程的关系；仅产出评估报告后再决策","","M","2","低","评估报告（含风险清单与 go/no-go 建议）","已完成"
"P4-02","Phase 4","评估","AI 辅助生成 pack 草稿","DOM 快照→LLM 生成选择器草稿→向导人工校验闭环；评估成本/准确率并做原型","P3-04","M","3","低","原型演示与准确率评估报告","已完成"
"P4-03","Phase 4","安全","registry 包签名（Ed25519）","CI 发布时签名+扩展内置公钥校验，防 CDN 与分支双重篡改；评估必要性（现有 sha256+HTTPS 双源基础上的增量收益）后实施","P1-11","M","3","低","签名验证链路可用或明确不做的结论记录","已完成"
"P4-04","Phase 4","评估","匿名健康遥测评估","选择器失效聚合上报：默认关闭、隐私政策更新、Firefox AMO data_collection 声明影响评估；不达成隐私标准则永久搁置","P2-08","M","2","低","评估报告与隐私影响分析","已完成"
